0,50,400,0,0,1,0,4,0
0,100,400,0,0,1,0,4,0
0,150,400,0,0,1,0,4,0
0,200,400,0,0,1,0,4,0
0,250,400,0,0,1,0,4,0
0,300,400,0,0,1,0,4,0
0,350,400,0,0,1,0,4,0
0,400,400,0,0,1,0,4,0
0,450,400,0,0,1,0,4,0
1,0,0,0,-1,1,0,1,0
1,0,0,0,1,1,0,1,0
4,50,400,0,0,-1,0,0,0
4,100,400,0,0,-1,0,0,0
4,150,400,0,0,-1,0,0,0
4,350,400,0,0,-1,0,0,0
4,400,400,0,0,-1,0,0,0
4,450,400,0,0,-1,0,0,0
5,50,400,0,0,-1,0,4,0
5,100,400,0,0,-1,0,4,0
5,150,400,0,0,-1,0,4,0
5,200,400,0,0,-1,0,4,0
5,250,400,0,0,-1,0,4,0
5,300,400,0,0,-1,0,4,0
5,350,400,0,0,-1,0,4,0
5,400,400,0,0,-1,0,4,0
5,450,400,0,0,-1,0,4,0
6,0,0,0,-1,-1,0,1,0
6,0,0,0,1,-1,0,1,0
9,0,150,0,-1,0,0,4,0
9,0,350,0,-1,0,0,4,0
9,0,100,0,1,0,0,4,0
9,0,300,0,1,0,0,4,0
9.2,0,130,0,-1,0,0,4,0
9.2,0,180,0,-1,0,0,4,0
9.2,0,330,0,-1,0,0,4,0
9.2,0,380,0,-1,0,0,4,0
9.2,0,80,0,1,0,0,4,0
9.2,0,120,0,1,0,0,4,0
9.2,0,280,0,1,0,0,4,0
9.2,0,320,0,1,0,0,4,0
9.4,0,150,0,-1,0,0,0,0
9.4,0,130,0,-1,0,0,0,0
9.4,0,180,0,-1,0,0,0,0
9.4,0,350,0,-1,0,0,0,0
9.4,0,330,0,-1,0,0,0,0
9.4,0,380,0,-1,0,0,0,0
9.4,0,100,0,1,0,0,0,0
9.4,0,300,0,1,0,0,0,0
9.4,0,130,0,1,0,0,0,0
9.4,0,180,0,1,0,0,0,0
9.4,0,330,0,1,0,0,0,0
9.4,0,380,0,1,0,0,0,0
12,150,0,0,0,1,0,1,0
12,350,0,0,0,1,0,1,0
12.5,100,0,0,0,1,0,0,0
12.5,200,0,0,0,1,0,0,0
12.5,300,0,0,0,1,0,0,0
12.5,400,0,0,0,1,0,0,0
15,0,100,0,1,0,0,3,0
15,0,200,0,1,0,0,3,0
15,0,300,0,1,0,0,3,0
15,0,400,0,1,0,0,3,0
15,0,500,0,1,0,0,3,0
16,0,450,0,-1,-1,0,2,0
16,0,500,0,-1,1,0,2,0
20,0,100,0,-1,0,0,3,0
20,0,200,0,-1,0,0,3,0
20,0,300,0,-1,0,0,3,0
20,0,400,0,-1,0,0,3,0
20,0,500,0,-1,0,0,3,0
21,0,450,0,1,1,0,2,0
21,0,500,0,1,-1,0,2,0
22,0,50,0,-1,0,0,4,0
22,0,150,0,-1,0,0,4,0
22,0,250,0,-1,0,0,4,0
22,0,350,0,-1,0,0,4,0
22,0,450,0,-1,0,0,4,0
